ell; low_auto_ch0; high_horizontal_auto_ch0; high_vertical_auto_ch0; high_diagonal_auto_ch0
3441.8381716751305; 1929.3243632467527; 3364.591820952896; 439.99041710413036; 352.4708833017583
4105.864707951298; 1198.2450687738124; 3004.40133380625; 358.7769247631776; 375.51402443428634
4772.970773009196; 783.7386443335064; 2663.6881040943395; 306.95380127921436; 401.17629269686967
5442.023980101521; 535.8642338175421; 2373.8208635399383; 269.4596926836884; 430.7269976229436
6112.384968242756; 383.9491017287481; 2143.4761455723888; 241.105370387034; 462.52603606992903
6783.666044256602; 288.37456946163013; 1972.0829497526745; 219.20482851155612; 496.37713619957464
7455.618686601401; 225.1465175503163; 1838.3538933599787; 201.6161620239189; 531.4687787314831
8128.0763406848; 183.96922576181925; 1744.9783718773078; 187.76573457949127; 572.2799050580467
8800.923247023577; 156.77769102541; 1681.1367345402427; 179.88083205395043; 635.9035952512357
9474.076472142286; 139.58719723208455; 1647.4277542914997; 175.31123286847097; 688.0822099276954
10147.475055401714; 130.14204818653735; 1633.5225304179564; 167.17539689185884; 697.80368168147
10821.073190769943; 127.14927546494401; 1620.765098877075; 162.73840169619973; 691.9801881855652
1350.0; 16108.928528272689; 565.1916123416624; 4191.540478221209; 258.7721374254833
1509.345884812358; 12009.912301584958; 1306.8949064072726; 3517.412276810264; 292.0281793475649
1909.1883092036783; 7314.7743490751045; 2414.299260994035; 2397.353363702301; 349.40665632374186
2433.747110938193; 4277.370875964074; 3012.836598967357; 1562.8309437299279; 394.39614260376845
3018.691769624716; 2521.1499349216047; 3104.8491516586428; 1045.085184647832; 420.5917218031341
3634.9862448157905; 1535.140267061764; 2931.3121802084765; 739.0982196345946; 440.6332145474598
4269.074841227312; 966.8037284019789; 2684.829514560933; 553.0837185717473; 460.070760449329
4914.07417526435; 636.7731970186401; 2442.1507736056433; 436.9619849583967; 481.41935859706433
5566.192594583842; 433.1067078817707; 2208.362550624051; 359.19346633727173; 506.6000147745134
6223.192508672699; 307.7889565004055; 2025.228404229491; 306.42130162618207; 536.6075714750081
6883.676343350261; 226.35740009470737; 1875.6233804953786; 265.99009451983653; 567.8803196317391
7546.72942406179; 173.52385071092309; 1767.9955530003294; 237.4936498517618; 615.8792838237586
8211.729415902597; 138.26613478283127; 1681.7015360503378; 216.07780564886335; 679.8621790085326
8878.238845626985; 115.66494981796401; 1632.707250953079; 196.44673920439834; 703.3157341241982
9545.941546018392; 101.01736836509664; 1597.2504535982252; 179.9477238845737; 704.4301584020749
10214.603516534551; 93.0847787639662; 1584.1948521054433; 172.37179928222542; 704.0923866293214
10884.047960203043; 90.45549821660505; 1576.5202867652401; 170.20909112297704; 704.7016385469025
2025.0000000000002; 7524.146264035289; 432.92347836037493; 4334.884702179262; 275.4051877236862
2134.537420613656; 6070.8769212146635; 829.2773733183344; 3887.0100304254; 313.3253718846437
2433.747110938193; 4275.763007215502; 1571.6445109131166; 2987.8286574402687; 393.1364259928935
2863.7824638055176; 2826.9119148158375; 2146.9986713419144; 2129.434630638049; 467.309563239137
3375.0; 1814.852329079463; 2380.450513014087; 1487.9119874630019; 515.0756347417503
3935.8925290205784; 1171.3068120132502; 2377.737275537205; 1057.2730221106692; 543.5487336968667
4528.037654437075; 767.9380565140774; 2274.249647238318; 776.9047086977055; 567.4147900481717
5140.6468464581385; 517.1149701894344; 2132.3337314829764; 595.9065578360489; 591.3958066129208
5767.202528089333; 358.37396105028006; 1988.2512462021864; 471.45822117222144; 615.4779588240135
6403.612261840968; 255.19600204264228; 1849.1064459120553; 381.6908435450047; 640.3136685183238
7047.206893514623; 188.5468226868948; 1745.3881873338437; 316.20966277119743; 688.8168015715393
7696.184119419181; 143.48586114663857; 1656.6033132313; 268.21436736687843; 737.6740588271291
8349.288891875764; 113.2217309002586; 1589.2595627787853; 236.34324310901988; 757.9209391039414
9005.623243285276; 93.32684714358471; 1547.196681333242; 215.24882106502145; 770.3103282748446
9664.529217711539; 81.11198524890754; 1525.7202179732737; 201.4184548986663; 777.7614220959422
10325.514515025388; 74.06500967872914; 1515.3185447112255; 193.1713883425242; 780.5747686910333
10988.203902367302; 71.83466177259831; 1505.086418910608; 190.88038001224334; 781.2855961483078
2700.0; 4010.9451695654943; 358.1106483001047; 4049.3543657545533; 294.49287007925636
2783.096297291921; 3329.7839179327143; 582.4757258882205; 3752.7735547544476; 332.5568350504935
3018.691769624716; 2529.9018811187702; 1054.7751964754011; 3101.924699320271; 421.09501307120877
